source_text,target_text
hello computer,bonjour ordinateur
hello world,bonjour le monde
good morning friend,bonjour mon ami
good night everyone,bonne nuit tout le monde
thank you very much,merci beaucoup
please help me,s il vous plait aidez moi
yes of course,oui bien sur
no problem,pas de probleme
machine translation model,modele de traduction automatique
the artificial intelligence system,le systeme d intelligence artificielle
this is a neural network,ceci est un reseau de neurones
the system processes data,le systeme traite les donnees
we are building a translator,nous construisons un traducteur
i love writing python code,j adore ecrire du code python
how are you,comment allez vous
i am doing well,je vais bien
what is your name,quel est votre nom
my name is computer,mon nom est ordinateur
where do you live,ou habitez vous
i live in the cloud,je vis dans le nuage
what time is it,quelle heure est il
it is late,il est tard
the dog barked,le chien a aboye
the cat slept,le chat a dormi
i see the screen,je vois l ecran
you read the text,vous lisez le texte
she wrote a book,elle a ecrit un livre
he likes machine learning,il aime l apprentissage automatique
the program runs fast,le programme s execute rapidement
the model learns quick,le modele apprend vite
open the application,ouvrez l application
save the project file,enregistrez le fichier du projet
run the automated test suite,executez la suite de tests automatises
the processing unit is fast,l unite de traitement est rapide
gpu acceleration is active,l acceleration gpu est active
check the terminal output,verifiez la sortie du terminal
